Company/Bond,Net Debt/EBITDA,Total Debt/EBIT,Net Debt/EBIT,EBITDA to Interest Expense,EBITDA-CapEx/Interest Expense,EBIT to Interest Expense,Interest Expense,Common Equity/Total Assets,Long-Term Debt/Equity,Long-Term Debt/Capital,Long-Term Debt/Total Assets,Total Debt/Equity,Total Debt/Capital,Total Debt/Total Assets,Num Rating,Market Cap,Industry
0,1.02,4.42,2.31,16.15,6.75,9.35,216,27.54,53.59,27.56,15.47,94.47,48.58,27.28,1,47687.0311,0
0,0.98,3.52,1.89,19.82,16.67,11.77,180,29.46,51.98,26.8,15.48,93.93,48.44,27.97,1,54597.4102,0
0,0.9,2.83,1.54,21.68,18.3,14.76,188,30.14,47.29,24.54,14.4,92.68,48.1,28.22,1,52760.7677,0
0,1.15,3.03,2.05,9.48,5.18,1.18,159,27.63,48.17,24.17,13.47,99.3,49.82,27.76,1,50052.8481,0
0,1.06,2.85,1.83,20.41,5.97,12.68,198,27.61,44.86,22.84,12.53,96.46,49.1,26.94,1,60038.4011,0
0,1.36,2.88,2.11,19.19,10.86,12.41,179,25.19,58.06,25.48,14.81,127.82,56.11,32.61,1,88649.054,0
0,1.42,2.92,2.19,17.38,10.11,10.95,183,24.91,68.96,29.68,17.4,132.32,56.96,33.39,1,103050.1282,0
0,1.37,2.96,2.13,22.93,7.89,15.63,194,24.01,69.12,29.3,16.81,135.88,57.61,33.04,1,100240.2712,0
0,1.58,3.14,2.47,15.5,9.48,8.67,179,23.88,79.67,32.28,19.28,146.81,59.48,35.53,1,98982.6929,0
0,1.64,3.2,2.57,20.05,11.82,13.13,161,23.76,78.54,31.42,18.92,149.98,60,36.13,1,107127.2943,0
0,1.67,3.21,2.55,19.24,9.42,13.56,160,23.06,81.78,32.35,19.12,152.81,60.44,35.72,1,118586.4807,0
0,1.22,2.38,1.89,25.02,9.89,17.67,171,23.16,68.86,28.9,16.14,138.24,58.03,32.41,1,192472.2947,0
0,1.34,2.36,2.06,22.11,16.66,14.03,152,23.28,73.24,30,17.27,144.17,59.04,34,1,209859.5841,0
0,1.67,2.76,2.45,44.58,31.37,32.46,84,22.82,87.93,34.87,20.32,152.15,60.34,35.17,1,192907.2367,0
0,1.71,2.75,2.46,21.74,15.96,15.38,183,23.01,95.54,38.18,22.27,150.26,60.04,35.02,1,197586.938,0
0,1.51,2.46,2.14,17.87,7.41,13.29,298,23.06,89.08,37.34,20.79,138.56,58.08,32.34,1,149846.4191,0
0,1.51,2.46,2.13,49.66,28.57,32.04,70,25.03,83.49,35.63,21.14,134.32,57.32,34.01,1,169028.3663,0
0,1.85,3.58,3.09,70.24,31.81,23.76,33,25.41,76.05,34.44,19.32,120.78,54.71,30.69,1,121991.2559,0
0,1.71,3.55,2.83,94.24,51.36,62.44,34,26.31,80.45,37.15,21.17,116.53,53.82,30.66,1,98549.032,0
